sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,two_year_recid
Male,25 - 45,Caucasian,None,None,None,None,M,Fail Register Vehicle,1
Female,25 - 45,African-American,None,None,None,1 to 5,F,Burglary With Assault/battery,0
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Felony Battery (Dom Strang),0
Female,Greater than 45,Hispanic,None,None,None,None,M,Battery,0
Female,Greater than 45,Native American,None,None,None,1 to 5,M,arrest case no charge,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Att Tamper w/Physical Evidence,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Cannabis,1
Male,Greater than 45,Hispanic,None,None,None,1 to 5,M,Viol Prot Injunc Repeat Viol,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,0
Female,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,None,M,Operating W/O Valid License,1
Male,25 - 45,African-American,None,None,1 to 2,5+ to 15,F,Driving While License Revoked,0
Male,Greater than 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Female,25 - 45,African-American,None,None,None,1 to 5,M,Refuse to Supply DNA Sample,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,None,F,Stalking (Aggravated),0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,African-American,None,None,None,None,F,Felony Battery (Dom Strang),0
Male,Less than 25,Hispanic,None,None,None,1 to 5,F,Sel/Pur/Mfr/Del Control Substa,0
Male,25 - 45,African-American,None,None,None,25+,F,Felony Petit Theft,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,1 to 2,5+ to 15,M,Viol Injunct Domestic Violence,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Burglary Unoccupied Dwelling,0
Male,Greater than 45,African-American,None,None,None,None,F,Possession of Cocaine,1
Male,Greater than 45,Hispanic,None,None,None,1 to 5,M,Disorderly Conduct,0
Male,25 - 45,African-American,None,1 to 2,None,5+ to 15,F,Resist Officer w/Violence,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,0
Male,Greater than 45,African-American,None,None,None,15+ to 25,F,Att Burgl Unoccupied Dwel,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Burglary Dwelling Occupied,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Felony Battery (Dom Strang),1
Male,Less than 25,Caucasian,None,None,1 to 2,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,None,M,Poss Drugs W/O A Prescription,0
Male,25 - 45,Other,None,None,None,None,M,Battery,0
Male,Less than 25,Hispanic,1 to 4,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,None,F,Aggravated Assault W/o Firearm,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,1
Female,Greater than 45,Hispanic,None,None,None,5+ to 15,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Female,25 - 45,African-American,None,None,None,None,F,Grand Theft in the 1st Degree,0
Male,Greater than 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Leave Accd/Attend Veh/Less $50,0
Male,Less than 25,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,Fel Drive License Perm Revoke,0
Male,Greater than 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,Caucasian,None,None,None,5+ to 15,F,Felony Battery w/Prior Convict,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Burglary Unoccupied Dwelling,0
Male,25 - 45,African-American,None,None,None,None,F,Aggravated Assault W/Dead Weap,1
Female,25 - 45,African-American,None,None,None,5+ to 15,F,Resist Officer w/Violence,1
Male,Less than 25,Caucasian,None,None,None,None,F,Possession Of Alprazolam,0
Female,25 - 45,Caucasian,None,1 to 2,None,1 to 5,F,Aggrav Battery w/Deadly Weapon,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,2+,1 to 2,5+ to 15,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,1 to 4,None,None,5+ to 15,F,Aggravated Assault W/dead Weap,1
Male,Less than 25,African-American,None,1 to 2,1 to 2,1 to 5,F,Possession Burglary Tools,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession Of Heroin,1
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,Less than 25,African-American,None,None,None,None,M,Battery,0
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,None,F,Poss of Cocaine W/I/D/S 1000FT Park,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Robbery Sudd Snatch No Weapon,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Female,Less than 25,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,African-American,None,None,None,1 to 5,M,Disorderly Conduct,0
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,1 to 2,1 to 5,F,Lewd Act Presence Child 16-,1
Female,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Female,Greater than 45,Caucasian,None,None,None,1 to 5,F,Poss Contr Subst W/o Prescript,1
Male,Greater than 45,African-American,None,None,None,None,M,Soliciting For Prostitution,0
Male,25 - 45,Hispanic,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Felony Driving While Lic Suspd,0
Male,Greater than 45,Hispanic,None,None,None,5+ to 15,M,Extradition/Defendants,0
Female,Greater than 45,Caucasian,None,None,None,None,F,Battery on Law Enforc Officer,1
Male,Less than 25,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Felony Driving While Lic Suspd,0
Male,25 - 45,African-American,None,None,None,None,F,Felony Battery (Dom Strang),1
Female,25 - 45,African-American,None,None,None,1 to 5,F,Uttering a Forged Instrument,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,African-American,None,None,1 to 2,5+ to 15,M,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,None,F,Grand Theft (Motor Vehicle),1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Male,Greater than 45,Hispanic,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Resist Officer w/Violence,1
Female,25 - 45,African-American,None,None,None,None,F,Possession of Cocaine,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Felony Batt(Great Bodily Harm),1
Male,25 - 45,Hispanic,None,None,None,1 to 5,M,Aggrav Battery w/Deadly Weapon,0
Male,25 - 45,Other,4+,None,None,15+ to 25,F,arrest case no charge,1
Male,25 - 45,Hispanic,None,1 to 2,None,5+ to 15,F,Aggravated Assault W/Dead Weap,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Crim Use of Personal ID Info,1
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,Driving While License Revoked,1
Male,Less than 25,Asian,None,None,None,None,M,Battery,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Grand Theft (Motor Vehicle),1
Male,25 - 45,Hispanic,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,African-American,None,None,None,15+ to 25,F,Poss Wep Conv Felon,1
Male,Greater than 45,Other,None,None,None,1 to 5,F,Possession Of Alprazolam,0
Male,25 - 45,African-American,None,1 to 2,None,5+ to 15,F,Poss Pyrrolidinovalerophenone,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Drivg While Lic Suspd/Revk/Can,1
Male,25 - 45,Other,None,None,None,None,M,Viol Prot Injunc Repeat Viol,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,1
Female,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,None,F,"Deliver 3,4 Methylenediox",0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,1
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Driving License Suspended,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,0
Female,Greater than 45,Hispanic,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Burglary Dwelling Occupied,1
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,None,F,Poss Tetrahydrocannabinols,0
Male,25 - 45,Caucasian,None,None,1 to 2,5+ to 15,M,Refuse Submit Blood/Breath Test,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Driving While License Revoked,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,0
Female,25 - 45,African-American,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Refuse Submit Blood/Breath Test,1
Female,Less than 25,Other,None,None,None,None,F,Aggrav Battery w/Deadly Weapon,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,0
Male,Less than 25,African-American,None,None,None,1 to 5,M,Criminal Mischief,1
Female,Greater than 45,African-American,None,None,None,5+ to 15,M,Battery,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,M,Trespass Other Struct/Conve,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Female,Greater than 45,Caucasian,None,None,None,1 to 5,F,Battery on Law Enforc Officer,0
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,1 to 4,None,None,15+ to 25,M,Battery,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Aggrav Stalking After Injunctn,0
Female,25 - 45,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,1
Male,Greater than 45,Caucasian,None,None,None,None,F,Agg Battery Grt/Bod/Harm,0
Male,Less than 25,Hispanic,None,None,None,None,M,Battery,1
Male,25 - 45,Caucasian,None,None,None,None,M,DUI Property Damage/Injury,0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Battery,0
Male,25 - 45,African-American,4+,1 to 2,None,5+ to 15,F,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,Caucasian,None,1 to 2,1 to 2,1 to 5,M,Battery,1
Male,25 - 45,African-American,None,None,None,None,M,Battery,1
Male,Less than 25,African-American,None,None,None,None,M,Possess Drug Paraphernalia,0
Male,25 - 45,Caucasian,None,None,None,None,M,Susp Drivers Lic 1st Offense,0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Driving Under The Influence,1
Male,Greater than 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,Less than 25,Hispanic,None,None,None,5+ to 15,F,Solicit Deliver Cocaine,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Attempt Burglary (Struct),0
Male,Less than 25,African-American,None,None,None,None,F,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,African-American,1 to 4,1 to 2,None,5+ to 15,M,Prowling/Loitering,1
Male,25 - 45,Caucasian,None,None,None,5+ to 15,M,Viol Injunct Domestic Violence,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,Less than 25,African-American,None,None,None,None,F,Felon in Pos of Firearm or Amm,1
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,0
Female,25 - 45,Caucasian,None,None,1 to 2,1 to 5,F,Possession of Cocaine,0
Male,Greater than 45,Hispanic,None,None,None,5+ to 15,F,Felony Petit Theft,1
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,1
Female,Less than 25,African-American,None,None,None,None,M,Battery,1
Male,25 - 45,Hispanic,None,None,1 to 2,1 to 5,F,Crimin Mischief Damage $1000+,0
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,0
Male,25 - 45,Native American,None,None,None,1 to 5,F,Possession of Cocaine,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,1
Male,Greater than 45,Asian,None,None,None,1 to 5,F,arrest case no charge,1
Female,Greater than 45,African-American,None,None,None,1 to 5,M,arrest case no charge,0
Male,Less than 25,Caucasian,None,1 to 2,1 to 2,1 to 5,M,DUI Level 0.15 Or Minor In Veh,0
Male,Less than 25,African-American,None,None,None,None,F,Burglary Dwelling Armed,1
Male,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,Less than 25,Hispanic,None,None,None,1 to 5,F,Pos Cannabis W/Intent Sel/Del,1
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession Of Methamphetamine,1
Male,Less than 25,Caucasian,None,None,None,None,M,Viol Pretrial Release Dom Viol,1
Male,25 - 45,Other,None,None,None,5+ to 15,F,Burglary Unoccupied Dwelling,0
Male,25 - 45,African-American,None,None,None,None,F,Felony Battery,0
Male,25 - 45,African-American,None,None,None,15+ to 25,F,Driving While License Revoked,1
Female,25 - 45,African-American,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,1 to 2,1 to 5,F,Possession Burglary Tools,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Driving While License Revoked,1
Male,25 - 45,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Pos Cannabis W/Intent Sel/Del,1
Male,Less than 25,Other,None,2+,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Resist Officer w/Violence,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Crim Use of Personal ID Info,1
Male,25 - 45,Caucasian,None,None,None,None,F,Aggravated Battery,0
Male,Less than 25,Caucasian,None,None,None,None,M,Crim Attempt/Solicit/Consp,0
Male,25 - 45,Hispanic,None,None,None,None,M,Operating W/O Valid License,0
Male,Less than 25,African-American,None,None,None,1 to 5,M,Susp Drivers Lic 1st Offense,1
Male,Less than 25,African-American,None,None,1 to 2,None,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,Caucasian,1 to 4,None,1 to 2,15+ to 25,F,Possession of Cocaine,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,1
Female,Less than 25,African-American,None,None,None,1 to 5,M,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,None,M,DUI Property Damage/Injury,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,F,DWI w/Inj Susp Lic / Habit Off,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Driving While License Revoked,1
Male,25 - 45,African-American,None,1 to 2,None,5+ to 15,F,Agg Battery Grt/Bod/Harm,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Burglary Unoccupied Dwelling,1
Male,25 - 45,African-American,None,None,None,None,M,Battery,0
Female,Greater than 45,African-American,None,None,None,15+ to 25,F,Felony Petit Theft,1
Male,Less than 25,Hispanic,None,None,None,1 to 5,M,Possess Cannabis/20 Grams Or Less,1
Male,Greater than 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,"Deliver 3,4 Methylenediox",0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Aggravated Assault W/o Firearm,1
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,1
Female,25 - 45,Caucasian,None,None,None,None,M,Battery,0
Male,25 - 45,Caucasian,None,1 to 2,None,5+ to 15,F,arrest case no charge,1
Male,Less than 25,African-American,None,None,None,1 to 5,M,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Possession of Cannabis,1
Male,25 - 45,Caucasian,None,None,None,None,M,DUI- Enhanced,0
Male,25 - 45,African-American,None,None,1 to 2,1 to 5,F,Crim Use of Personal ID Info,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Felony Batt(Great Bodily Harm),1
Male,Less than 25,African-American,None,None,None,None,F,Burglary Unoccupied Dwelling,0
Male,25 - 45,Caucasian,None,None,None,None,M,Driving Under The Influence,0
Male,25 - 45,African-American,None,None,None,None,M,arrest case no charge,1
Male,25 - 45,African-American,None,2+,None,15+ to 25,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,False Imprisonment,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,1 to 2,1 to 5,M,Petit Theft $100- $300,0
Female,25 - 45,Hispanic,None,None,None,1 to 5,F,arrest case no charge,1
Male,Greater than 45,African-American,None,None,None,5+ to 15,M,Driving License Suspended,0
Male,25 - 45,Other,None,None,None,None,M,Battery,0
Male,Greater than 45,Hispanic,None,None,None,None,M,Battery,0
Male,Less than 25,African-American,None,None,None,None,F,Grand Theft (Motor Vehicle),1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Violation License Restrictions,0
Male,Less than 25,Caucasian,None,None,None,None,F,"Poss3,4 Methylenedioxymethcath",0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Assault,1
Male,25 - 45,African-American,None,None,None,None,F,Stalking (Aggravated),0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Burglary Structure Unoccup,1
Male,Greater than 45,Caucasian,None,None,None,None,M,DUI Level 0.15 Or Minor In Veh,0
Male,25 - 45,African-American,None,1 to 2,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Male,Less than 25,Caucasian,None,None,None,None,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Throw Deadly Missile Into Veh,0
Female,Less than 25,African-American,None,None,None,5+ to 15,M,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,None,F,Aggravated Assault w/Firearm,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Burglary Conveyance Unoccup,0
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,None,F,Uttering a Forged Instrument,0
Male,Less than 25,African-American,None,None,None,None,F,Pos Cannabis W/Intent Sel/Del,0
Male,Less than 25,Caucasian,None,None,None,None,F,Burglary Structure Unoccup,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,None,None,None,F,arrest case no charge,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,None,F,Possession of Cocaine,0
Male,Less than 25,Caucasian,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,25 - 45,Hispanic,None,None,None,1 to 5,M,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Assault,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Driving Under The Influence,1
Male,25 - 45,Native American,None,None,None,None,F,"Aggr Child Abuse-Torture,Punish",0
Male,Greater than 45,African-American,None,None,None,None,F,Aggravated Battery / Pregnant,0
Female,Less than 25,Other,None,None,None,1 to 5,F,Neglect Child / No Bodily Harm,1
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Felony Battery w/Prior Convict,1
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Assault,0
Female,Greater than 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,1
Female,25 - 45,Caucasian,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,M,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,None,F,arrest case no charge,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,Greater than 45,Caucasian,None,None,None,None,M,DUI - Enhanced,0
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,1
Female,25 - 45,African-American,None,None,None,None,F,Aggrav Battery w/Deadly Weapon,0
Male,Less than 25,Hispanic,1 to 4,None,None,1 to 5,F,arrest case no charge,1
Male,Greater than 45,African-American,None,None,None,15+ to 25,F,Felony Petit Theft,0
Male,Less than 25,Other,None,None,None,None,F,Purchase Cannabis,0
Male,25 - 45,African-American,None,None,None,15+ to 25,F,Felony Petit Theft,1
Female,Less than 25,Hispanic,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Tampering With Physical Evidence,0
Male,25 - 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,DUI Level 0.15 Or Minor In Veh,1
Male,Greater than 45,Hispanic,None,None,None,5+ to 15,M,Driving License Suspended,0
Male,Greater than 45,Caucasian,None,None,None,None,M,DUI Blood Alcohol Above 0.20,0
Male,Less than 25,African-American,None,None,1 to 2,1 to 5,F,Pos Cannabis W/Intent Sel/Del,1
Male,Greater than 45,Caucasian,None,None,None,1 to 5,M,Battery,1
Male,Greater than 45,Caucasian,None,None,None,None,M,Battery,1
Male,Greater than 45,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,African-American,None,1 to 2,None,5+ to 15,F,Possession of Cocaine,1
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,1 to 2,None,5+ to 15,F,Grand Theft (Motor Vehicle),1
Male,25 - 45,African-American,None,None,None,1 to 5,F,Possession of Cocaine,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Grand Theft (Motor Vehicle),1
Male,25 - 45,African-American,None,None,None,None,F,Poss Pyrrolidinovalerophenone,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,5+ to 15,F,Aggravated Battery / Pregnant,1
Male,25 - 45,African-American,None,None,1 to 2,5+ to 15,F,Aggravated Battery / Pregnant,0
Male,25 - 45,Other,None,None,None,5+ to 15,F,Grand Theft in the 3rd Degree,0
Female,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Robbery / No Weapon,0
Female,25 - 45,African-American,None,None,None,None,M,Battery,0
Male,Less than 25,Hispanic,None,None,None,1 to 5,F,arrest case no charge,0
Female,Greater than 45,Caucasian,None,None,None,5+ to 15,M,Expired DL More Than 6 Months,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,F,Possession of Cocaine,1
Male,Greater than 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,Caucasian,None,None,None,None,M,Battery,1
Female,25 - 45,African-American,None,None,None,1 to 5,M,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,1 to 2,1 to 5,F,Grand Theft in the 3rd Degree,0
Male,Greater than 45,African-American,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,M,Battery,0
Male,Greater than 45,African-American,None,None,None,5+ to 15,F,Possession of Cocaine,0
Male,25 - 45,African-American,None,None,None,None,F,Poss Unlaw Issue Driver Licenc,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Felony Driving While Lic Suspd,1
Male,25 - 45,African-American,None,None,None,None,M,Petit Theft,0
Male,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,African-American,None,1 to 2,None,5+ to 15,M,Driving License Suspended,1
Male,25 - 45,African-American,None,None,None,5+ to 15,F,Poss of Methylethcathinone,0
Male,25 - 45,Caucasian,None,None,1 to 2,1 to 5,F,Possession of Cocaine,0
Female,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,1
Male,25 - 45,Caucasian,None,None,None,None,F,Lewd/Lasc Battery Pers 12+/<16,0
Male,Greater than 45,Caucasian,None,None,None,5+ to 15,M,arrest case no charge,0
Female,25 - 45,Caucasian,None,None,None,1 to 5,M,Battery,0
Male,25 - 45,African-American,None,None,1 to 2,1 to 5,F,Carrying Concealed Firearm,0
Female,Greater than 45,African-American,None,None,None,5+ to 15,M,Battery,0
Male,Less than 25,African-American,None,None,None,None,F,Burglary Dwelling Armed,0
Male,25 - 45,Hispanic,None,None,None,15+ to 25,F,Burglary Conveyance Unoccup,1
Male,25 - 45,African-American,None,None,None,1 to 5,F,"Poss 3,4 MDMA (Ecstasy)",1
Female,Less than 25,African-American,None,None,None,None,M,Battery,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,Burglary Conveyance Unoccup,0
Female,Less than 25,Caucasian,None,None,None,1 to 5,F,arrest case no charge,0
Male,25 - 45,African-American,None,None,None,5+ to 15,M,Possess Cannabis/20 Grams Or Less,1
Male,Greater than 45,African-American,None,None,None,None,F,Grand Theft in the 3rd Degree,0
Male,25 - 45,African-American,None,None,None,1 to 5,F,arrest case no charge,0
Female,25 - 45,Other,None,None,None,None,M,Battery,0
Male,Greater than 45,Caucasian,None,None,None,None,M,Driving Under The Influence,0
Male,Less than 25,Caucasian,None,None,1 to 2,None,M,Battery,1
Male,25 - 45,African-American,4+,None,None,5+ to 15,M,Disorderly Intoxication,0
Male,25 - 45,African-American,None,None,None,None,F,Pos Cannabis W/Intent Sel/Del,0
Male,25 - 45,Hispanic,None,None,None,1 to 5,F,Use of Anti-Shoplifting Device,1
Male,25 - 45,Asian,None,None,None,1 to 5,F,Felony Petit Theft,1
Female,25 - 45,African-American,None,None,None,5+ to 15,M,Prostitution/Lewd Act Assignation,0
Male,Less than 25,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
Male,Less than 25,African-American,None,None,None,1 to 5,F,Grand Theft in the 3rd Degree,1
